target,rows,classes,png,svg,pdf,source_file,source_path
Relevance,169,"{0: 97, 1: 72}",C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__relevance.png,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__relevance.svg,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__relevance.pdf,scatter_data__Relevance.csv,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\Scatter mel umap\scatter_data__Relevance.csv
Interpretability,169,"{1: 81, 2: 36, 3: 52}",C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__interpretability.png,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__interpretability.svg,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__interpretability.pdf,scatter_data__Interpretability.csv,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\Scatter mel umap\scatter_data__Interpretability.csv
Completeness,169,"{0: 122, 1: 47}",C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__completeness.png,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__completeness.svg,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__completeness.pdf,scatter_data__Completeness.csv,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\Scatter mel umap\scatter_data__Completeness.csv
Differential Regime,169,"{0: 109, 1: 60}",C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__differential_regime.png,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__differential_regime.svg,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__differential_regime.pdf,scatter_data__Differential_Regime.csv,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\Scatter mel umap\scatter_data__Differential_Regime.csv
Discretionality,169,"{0: 93, 1: 76}",C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__discretionality.png,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__discretionality.svg,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\paper_figures\paper_scatter_mel_umap__discretionality.pdf,scatter_data__Discretionality.csv,C:\Users\57305\OneDrive - Universidad Nacional de Colombia\Documentos\GitHub\JURISIN_2026\JURISIN-2026\Version 2\Scatter mel umap\scatter_data__Discretionality.csv
